"人气排序","小说名称","作者","小说类型","总点击数","会员周点击数","总字数","评论数","评分","小说性质","写作进程","授权状态","更新时间","内容简介"
365,"大怪医","阴险的悟净","都市小说",516801,373,1534721,9948,9.9,"公众作品","新书上传","Ａ级签约","2016/10/23 13:07","　　以医入道未济世，功德十万方问仙！这是一个穿越修真者行走现代人间的有趣的故事。"
366,"大漫画","三月一","职场小说",718024,142,3344081,6800,9.3,"公众作品","已经完本","Ａ级签约","2016/4/30 0:36","　　重生在与地球相似的平行世界，然而这个世界竟然没有日本！
???     有人说他是奇才，因为他十五岁出道，漫画引起一次又一次的轰动，甚至演变成了一种文化现象。
???     有人说他是祸害，因为他还涉足小说、游戏、动画……他笔下的故事改变了无数人的人生，让他们无法自拔。
???     然而不管称赞还是贬低，他的影响力都在那里……
???     “他改变了我们的生活，主导了一个时代的风潮。他是漫画界的王者、也是文化界的奇迹，或许，他活着就是为了让世界沸腾！”——时代周刊
???"
367,"三国之魏武曹操","诸神创世","历史小说",661848,173,2643560,3422,9.1,"公众作品","新书上传","Ａ级签约","2016/10/23 15:05","　　重生到了三国，成了那有名的枭雄曹操，他还会让那些遗憾发生吗？
???     当然是不能！
???     郭嘉病死床榻？那谁谁谁，华佗给我过来！
???     赤壁火烧连船？喂，那个谁，把船给孤解了！
???     荀_病死寿春？喂喂，你难道没看到朕丞相的人选上写的是荀_的名字吗？！
???     当天下一统之后，曹操拔剑远望：“我等的征途是星辰大海！”"
368,"跃马西凉","朝盖","历史小说",500787,58,1287284,1830,9.5,"公众作品","已经完本","Ａ级签约","2015/8/5 1:02","　　罗征，字升平。
???     意外来到汉末乱世，又很不幸地成为董卓军中的一名小兵。
???     两世为人，是生当为人雄，逆流而上，还是随波逐流，富甲一方。
???     请看《跃马西凉》。
???"
369,"仙壶农庄","狂奔的海马","都市小说",2556738,147,4350987,9625,9.5,"公众作品","已经完本","Ａ级签约","2015/3/17 10:53","　　一个意外得到的神奇小壶，给了萧平完全不同的人生。
???     从此他困顿的生活得以改善，种地、办工厂、给人看病，美好的生活就在眼前！
???     新建了一个书友群，有兴趣的朋友可以加入，群号：238345494"
370,"黄金渔场","全金属弹壳","都市小说",2931867,729,4202243,88632,9.8,"公众作品","已经完本","Ａ级签约","2016/4/26 11:56","　　爱蓝天，爱绿树，更爱波澜浩瀚的大海。
???     浅海鱼，深海鱼，龙虾还有大海蟹，吃货的世界怎么能少了海鲜？
???     快艇，游艇，海钓艇，还有巡航艇，其实豪华游轮才是王道。
???     家里养着棕熊、白熊和浣熊，渔场还有海豚、白鲸和海獭，神马海狸、黑足雪貂、格陵兰小海豹，我的渔场应有尽有！
???     没事闲坐钓鱼台，呼朋唤友赌珍珠。
???     开上游艇逛七海，沉船宝藏我来捞。
???     大家好，我是秦时鸥，我用笔记录我在加拿大渔场的悠闲生活。
???     ********
???     PS1：微博账号：全金属弹壳本尊。有玩微博的朋友关注一下，大家经常聊聊，互动一下
???     PS2：微信账号：qjsdke，微信名是：弹药库，谢谢。"
371,"傲世九重天","风凌天下","玄幻小说",34858849,449,8428472,242897,9.8,"公众作品","精彩纷呈","Ａ级签约","2015/1/20 15:21","　　一笑风雷震，一怒沧海寒；一手破苍穹，一剑舞长天！
???     一人一剑，傲世九重天！
???"
372,"神话入侵","末羽","科幻小说",1315840,99,2840276,6836,9.2,"公众作品","已经完本","Ａ级签约","2015/5/14 8:15","　　简单来说，这是一个获得了神话传承之后，纵横天下，脚踩钢铁侠，拳打蜘蛛侠，神盾局，复仇者全部撂倒，充满了黑暗，复仇的故事。
???     一个充满了正义感的黑暗英雄成长的过程。
???"
373,"全能武侠系统","太乙大真人","都市小说",1177675,215,2168012,13160,9.7,"公众作品","新书上传","Ａ级签约","2016/9/25 16:30","　　小医生蒋飞，正因为诊所生意太差而考虑关门大吉时，却意外被游戏人物附身，从此变得无所不能。???     不仅医术出神入化，生死人肉白骨，从阎王爷手中抢命；
???     就连厨艺、琴艺、园艺、宠物驯养都全部精通！???     当别人以为这就是蒋飞全部本事时，蒋飞却笑眯眯地将目光看向了那一本本武学秘籍???     《降龙十八掌》、《六脉神剑》、《北冥神功》、《独孤九剑》……???"
374,"神道符召","雪满林中","仙侠小说",310176,45,1360672,2101,9.7,"公众作品","已经完本","Ａ级签约","2015/9/10 12:01","　　人道治世，三百年一轮回。龙气镇压统治天下，同时也积压怨气无数。
???     而大虞定鼎天下，却已经有五百年了。

???     此时，青阳道将起，天下大劫将生！

???     一个带着六道天经的小小土地，却悄悄出现在凤来山上。立志健全神道，使阴阳各归其所！
???     正是：
???     符召成九品
???     神道吾独尊
???"
