"人气排序","小说名称","作者","小说类型","总点击数","会员周点击数","总字数","评论数","评分","小说性质","写作进程","授权状态","更新时间","内容简介"
883,"漫步在武侠世界","四咸","科幻小说",1576190,218,2896687,15145,9.2,"公众作品","接近尾声","Ａ级签约","2016/9/21 21:58","　　我见过小龙女的痴，也听过赤练仙子在耳边轻吟情为何物。
???     我曾与仪琳一起叩首求过佛，也与教主在黑木崖绣过花。
???     我从赵敏手中夺过倚天剑，却也见过周芷若的情与泪。
???     我吃过商秀_亲自下厨做的食物，与师妃暄论过道，也与__在那月前一起赤脚而舞。
???     ……
???     我是谁？
???     一名游走在武侠世界与都市的旅者而已，猖狂而来，却也该纵歌而去。
???     书群一173195143（已满），书裙二54055741欢迎大家入裙！
???"
884,"功德之主","荒古天帝","都市小说",539732,25,1828847,3506,8.7,"公众作品","已经完本","Ａ级签约","2016/5/29 20:49","　　苍茫天地为棋盘，纵然是高高在上的宇宙至尊，亦不过是一颗棋子。
???     横竖二十道，星海三百六十一洲，古往今来，不知道有多少天骄想要执掌那唯一的一颗混沌棋子。
???     三大主宰势力，十七顶级势力，江山如画，豪杰群雄并起。
???     为人皇，当以守护苍生为己任。得人道众生之念馈赠为功德，向无穷宇宙发出震天呐喊：犯我人族者，虽远必诛。
???     仙神圣三道同修震寰宇，参造化玄灵清明傲万古。
???     混沌鸿蒙，无穷宇宙，试问寰宇，谁与争锋！
???     【公众号是荒古天帝，添加huanggutiandi就可以跟我交流。书友群号是205746944】
???"
885,"穿越电影位面","寂寞大师","都市小说",714471,280,1382540,6003,9.3,"公众作品","新书上传","Ａ级签约","2016/10/21 20:14","　　《叶问》《剑雨》《狄仁杰》《功夫》《四大名捕》《画皮》《西游》……
???     支持国产，真爱无敌。"
886,"史前最后一只恐龙","最无终","科幻小说",333543,15,575431,1294,10,"公众作品","新书上传","Ａ级签约","2016/6/2 3:12","　　枝繁叶茂的亚热带丛林中，一只冠齿兽正在河边从容地喝水，丝毫没有注意到长草丛后面几只中爪兽阴鸷的小眼睛；河流上游，一只成年鳄鱼将整个身体潜入水下，伺机来一场“螳螂捕蝉，黄雀在后”的好戏。

???     然而这场已经准备好的连环杀戮盛宴却因为一只矮暴龙的插手而泡汤了。眼看猎物被这恶霸夺走，中爪兽们只能够无奈地互相舔舔伤痕，继续物色下一个目标；至于那只潜伏的鳄鱼，则早已经吓得逃回了老窝。

???     这一幕情景发生在新生代，晚于二十一世纪科学家们推测的“白垩纪—第三纪恐龙大灭绝事件”至少一千万年。

???     作为新生代最后一只恐龙，乔华感到自己任重而道远。

???     “你能想象出当我知道自己是最后一只恐龙后的那种绝望么？”乔华用爪子轻轻挠着发白的肚皮道，“这就好比重生成了张作霖，结果一问旁边的副官自己在哪儿。尼玛，皇姑屯！”"
887,"绝代霸主","岳龙鹏","玄幻小说",1716331,25,2753587,2537,9.8,"公众作品","已经完本","Ａ级签约","2015/4/22 15:35","　　一个站在世界巅峰，无所不能的地下皇帝，因古怪石鼎穿越到大齐皇朝，附体在一名被所有人看不起的倒插门酸秀才身上。
???     无所不能的霸主，拥有看穿一切的神眼，淡定的碾压着一切，走上只能站一个人的至尊巅峰。
???     何谓霸道，不服？何须跟他讲道理浪费唾沫，碾压过去就是了。
???     何谓霸主？王上加一点，凌驾在诸王之上的，只有这一点！主，在王上！"
888,"阴阳师异界游","耗子欺负猫","玄幻小说",1316305,71,3006831,5325,9.6,"公众作品","已经完本","Ａ级签约","2015/4/18 21:24","　　一代阴阳五行师家主穿越成为了将军之子，开始了从柔弱的小孩到巅峰强者之路。
???     面对叔母的陷害，看他如何将计就计；面对仆人的嘲笑，看他如何颠覆常理；面对斗师的强大，看他如何扭转乾坤……
???     咒符、法术、式灵、傀儡……让这个世界肝颤吧！
???"
889,"巫术师","辛老五","玄幻小说",1925171,102,4385372,11928,9.2,"公众作品","已经完本","Ａ级签约","2016/1/4 21:06","　　一个没有神的世界
???     一个规则掌握在巫师手中的世界
???     一个临近其他位面，被贪婪目光所注视的世界
???     一个弱肉强食、黑暗、血腥，充满着变化的神奇世界
???     带着具有分析、录音功能的生物芯片，开始了基因改造甚至是超越巅峰的强大之旅
???     魔幻类型作品，讲述了一个带着基因芯片，穿越到异世界普通人的故事
???     没有逆天的能力，不具备人见人爱、花见花开的魅力
???     没有虎躯一震、小弟纳头就拜的威力
???     神秘莫测，诡异离奇的世界里，最艰难的问题，就是生存！
???     老五第三本书，完本保障！
???     书友讨论群：161065952"
890,"斩赤红天堂","强袭乌鸦","二次元小说",60348,9,518581,625,10,"VIP作品","情节展开","专属作品","2016/4/9 0:35","　　说好的HE，也就是上一本的姐妹篇。

???     平行世界的另一个故事，虽然说是HE但是也是会死人的，只不过保证死的会比TE少就是了~

???     以上！"
891,"真武荡魔传","土疙瘩的爱情","仙侠小说",593220,107,5573544,12476,9.7,"公众作品","已经完本","Ａ级签约","2016/8/1 12:18","　　道家修元婴，佛家修舍利，魔修神魂，妖修躯体，坏孩子要修什么？双修行不行？不行的话，咱就修一个以恶止恶，以杀止杀的帝道？
???     －－－－－－－－
???     新书《擎天一棍》正在更新中，欢迎各位新朋老友移步品鉴！???     ???"
892,"超级购物","执政官阁下","都市小说",290154,15,415005,672,5.2,"公众作品","新书上传","Ａ级签约","2015/5/23 22:37","　　大千世界，浩瀚宇宙，一旦被一个超级网络链接起来，可以任意买卖购物交易，那会是什么样子？
???     李贺就获得了这样的一个机遇！
???     一时间，变形金刚火种，星级基地车，虫族母巢什么的，都成了超级购物网上可以交易的商品，让李贺美得不行！这网络时代，就是好啊！"
893,"银幕时代","钟离江河","都市小说",467383,174,1027132,2186,9.6,"公众作品","已经完本","Ａ级签约","2016/5/25 13:09","　　2006年，陈惜融合了11年后一个落魄导演的灵魂，面对着那院线制改革后混沌初开的大陆票仓。
???     中国市场的黄金岁月正迎面扑来……
???     当华语电影抹去商业国籍，却带着文化基因，在世界纵横驰骋……
???     这是他们的银幕时代，
???     这也是我们的银幕时代。
???     （大陆娱乐，不喜勿入）"
894,"最强敛财专家","暗黑茄子","都市小说",350576,59,604941,775,7.1,"公众作品","已经完本","Ａ级签约","2015/6/16 8:01","　　有啥别有病，没啥别没钱！
???     有人说钱不是万能的，可是对赵乐来说，钱就是万能的！
???     都市青年赵乐无意中触发了从小佩戴的神秘玉佩，从此踏上赚钱敛财之旅，只要有钱，他可以获得常人难以企及的能力，只要有钱，他可以让必死之人活下去，甚至成为名医、武学大师，而这也只是赵乐狂野人生的开始！
???     已经完本《末日新世界》、《恶魔篇章》、《绝世武圣》、《暗影街》，人品保证，请放心阅读！"
895,"天之轨迹","随心随性随喜","科幻小说",77680,26,1577452,1660,9.3,"公众作品","已经完本","Ａ级签约","2016/7/22 0:18","　　遂古之初，谁传道之？上下未形，何由考之？
???     冥昭瞢_，谁能极之？冯翼惟像，何以识之？
???     明明__，惟时何为？阴阳三合，何本何化？
???     圜则九重，孰营度之？惟兹何功，孰初作之？
???     斡维焉系，天极焉加？八柱何当，东南何亏？
???     …………
???     人之轨迹，命。国之轨迹，运。天之轨迹——道。
???     PS：以完成三百万字小说《漫游二次元》，人品保证，放心收藏。
???     PS2：这算是漫游二次元的第二部吧。"
896,"异次元大冒险","月色下的黄昏","科幻小说",93567,17,457792,1232,10,"公众作品","情节展开","Ａ级签约","2015/4/30 15:25","　　一颗星石，一个传说。刀剑神域（虚拟世界的跳板），复仇者联盟，生化危机，天龙八部，x战警，进击的巨人，且看萧然在异次元掀起怎样的血雨腥风！
???     作品若未更新，绝对是作者菌琐事缠身，作者菌系手残党，是卡文综合症的重症患者，还是晚期，但偶仍然坚持写书，在此郑重承诺本书不会太监，请放心收藏~养肥再看。
???     <<－－－请点击【加入书架】，收藏本书
???     <<－－－请点击【投推荐票】，支持本书
???     您的支持，就是新人的动力！(*^__^*)"
897,"星二代的逆袭","闭眼的波斯猫","职场小说",145707,22,717060,877,0,"公众作品","情节展开","Ａ级签约","2016/3/14 23:28","　　前世过着舒舒服服的米虫生活的宅男林杰一觉醒来后发现自己居然穿越了！
???     好吧，穿越就穿越吧，对于林杰来说，这都不是个事儿，只不过是换一个地方混吃等死罢了，更何况现在的父母都是大明星，有足够的家产让自己舒舒服服的过着混吃等死的米虫生活。
???     可是，谁能告诉他这个穿越大神附送的恶趣味系统是肿么一回事啊！！！
???     顶着无节操系统的鸭梨，林杰两眼泪汪汪的表示，我不要参加《爸爸去哪儿》啊！！！！
???     我只想做一个安安静静的美男子啊！！！！"
898,"魔兽世界之吉尔尼斯王子","交收","游戏小说",449947,69,2405823,3830,8.8,"公众作品","新书上传","Ａ级签约","2016/10/22 11:47","　　战火在轰鸣，亡灵在咆哮，
???     恐怖的瘟疫正在席卷着一切。
???     惨淡凄凉的挽歌在洛丹伦吟唱，
???     当王国倾覆，大地沉沦，亡灵天灾入侵之时！
???     我手持灰烬使者，穿越过格雷迈恩之墙，带领我的子民走向胜利。
???     我就是雷克斯·格雷迈恩，光明的使者，联盟之主，伟大的吉尔尼斯之王！"
899,"神话大宋","雷盾","仙侠小说",445974,172,870626,1128,10,"公众作品","新书上传","Ａ级签约","2016/10/23 0:43","　　大风狂飙、席卷万里，日月所临，皆为大宋！化身大宋皇族第五子，只为挽那天顷，救我汉家文明！"
900,"重生之龙骑领主","蜜汁扣肉","游戏小说",293371,29,889645,1451,9.6,"公众作品","已经完本","Ａ级签约","2015/4/16 23:50","　　2108年，科技极度发达，虚拟世界成为人类的第二个世界，复仇失败的李洛死亡之后幸运的重生五年前，正值改变虚拟世界格局的大型虚拟游戏“文明与战争”开启之际。
???     资源，兵种，建筑图，任务，英雄凭借着重生优势，李洛步步领先，最终造就一个龙骑领主的传奇故事。"
901,"大片时代","老驴东来","都市小说",1126246,53,1615842,8771,9.5,"公众作品","情节展开","Ａ级签约","2015/9/15 22:50","　　一直被模仿，从未被超越！???     被誉为新一代天王巨星，雅俗、通俗、恶俗、低俗、烂俗都玩了个遍，只为逗你一乐。???     不玩财富积累称霸全球，不求星光璀璨显达红毯，一个小富即安得过且过的低调宅星，却在一代观众心中留下永不褪色的偶像本色。
???"
902,"穿越之我是耿精忠","物理教尸","历史小说",229944,5,2087226,1475,10,"公众作品","新书上传","Ａ级签约","2015/9/12 0:00","　　穿越回到康熙初年，作为将被平定三藩之一，耿精忠是继续顺清做满清的奴才，还是起兵复我汉衣冠，还我浩荡中华！且看他如何兴农畜，办西学，创立远洋舰队，一统华夏河山"
903,"大唐刺客","勿折柳","历史小说",167260,13,603766,610,0,"公众作品","新书上传","Ａ级签约","2016/10/9 23:26","　　一枪没防住，醒来已千年。大唐贞观时，正是建功立业好时节。
???     开个金手指，刺客系统爆个戟。好吧，做个正面战斗的刺客也不错！
???     可是谁能告诉我那些会法术和诅咒的道士巫师是怎么回事吗？难道这不是一个位面不成？
???     重拾曾经的道士身份，带领大唐走向世界。
???     搞科技，定天灾，开启大唐现代化。平突厥，战高丽，踏足美洲大洋洲。非洲野兽满地跑，还有僵尸木乃伊。
???     从今天起，我就是大唐第一刺客！（中国古代的传统意义上的游侠型刺客，参考《刺客列传》，请勿与现在的职业杀手以及游戏刺客混淆。）"
904,"拿无限当单机","不带电","科幻小说",1802757,105,5048916,3974,9.4,"公众作品","已经完本","Ａ级签约","2015/11/10 7:42","　　明明有团队，却老是一个人独闯，哪怕是团战。慢慢升级？强者可是天生的，只要有机会就一飞冲天。就算再危险的世界，也可以轻松面对才有趣。
???     咳咳，请记住这串：一一三八七三八三零。这本书毕竟是大修过的，遇上什么问题记得到这里来（有完整的）。"
905,"杀戮沸腾","纯洁滴小龙","科幻小说",324257,21,1238708,1965,9.4,"公众作品","已经完本","Ａ级签约","2015/6/23 18:45","　　拥有一双能够看见未来画面的眼睛，怀揣着一颗对“神”狂热追求的心，骨子里却是自私冷酷的萧轩，因为一次意外，进入了主神空间，开启了他的杀戮挣扎之旅，他的目标很简单：
???     “要么能够让我亲眼见到真正的神，要么，让我自己成神！”
???     这里是主神空间，这里是人性炼狱，在这里：
???     信任与背叛交织，队友和敌人转换；
???     死亡同生存共舞，残酷携温情碰撞！
???     ——
???     【警告：本书黑暗系人性无限流，圣母读者勿入！】
???     ——
???     传统无限流精品之作，小龙出品，必属精品！书友群见下方书评区置顶！
???"
906,"大穿越时代","老老王","科幻小说",212190,672,3675968,3488,9.8,"公众作品","连载中","签约作品","2016/10/22 23:16","　　粉碎吧！历史！改变吧！世界！
???     从现在开始，我们就要为国争光，杀出国门，杀出地球，杀到异世界去了！就算是神，也要杀给你看！
???     ——因为一次突如其来的奇遇，城管实习生王秋同学在历经了一系列磨难之后，终于找到了组织，踏上了穿越诸多时空，粉碎历史，改变世界的伟大冒险旅途。
???     “同志们！让我们一起去穿越吧！”"
907,"异世傲天","傲月长空","玄幻小说",4040203,235,9991249,8248,9.1,"公众作品","情节展开","Ａ级签约","2016/10/22 22:50","　　造化玄鼎掌中握！万法玄胎铸金身！

???     大千宇宙！万千世界！无尽浩渺！

???     龙傲天，于微末之中崛起！与人斗、与天斗！征战诸天万界！

???     问天地谁主沉浮！以无敌之姿问鼎不朽之巅峰！"
908,"超级修炼系统","包租东","玄幻小说",752612,178,4943956,6466,8.3,"公众作品","精彩纷呈","Ａ级签约","2016/10/22 23:56","　　叶一鸣原本是地球上一名孤儿，一个20岁普通的大学生，一次机遇让他穿越到一个陌生的世界，成为了一个小世界天阳国的武国公之孙。

???     身上携带着超级修炼系统，就算是灵根全无，天生废柴，也可以到达至高境界。

???     别人苦心修炼，他依靠系统点数一路高歌！挥手间碾压异世无数天才。

???     小世界有我无敌，三千神道界战力无双，诸天万界我为主！

???     彪悍的人生不需要解释！

???"
909,"斩邪","南朝陈","仙侠小说",358522,45,793713,4269,9.7,"公众作品","新书上传","Ａ级签约","2016/9/23 23:53","　　八方乱，国将亡。
???     百姓号哭于野，妖魔披衣冠据庙堂。
???     弱冠书生，何去何从？
???     仗剑而起诛鬼魅，提笔静坐写文章。
???     手握乾坤，斩邪留正——
???     一曲《正气歌》，浩然起苍茫。
???     南朝书友群：200702009，热烈欢迎新老读者加入，聊天打屁有乐子，内涵杠杠的！"
910,"霹雳之剑武风云","缘远留尝","二次元小说",66283,8,204281,447,10,"VIP作品","新书上传","专属作品","2016/8/1 17:21","　　一把剑，一棵树，一个来自异界的误入灵魂，融成一个独立化体。
???     碎岛怀王，手持倾雪，搅动风云，定要让这天地容下吾的存在！
???"
911,"星星花园","翼翼爱你","奇幻小说",16203,0,447695,524,10,"VIP作品","新书上传","专属作品","2016/1/21 17:49","　　爱尔琳妮发誓要拯救这个美丽的世界，她认为不能在让这里的魔物继续嚣张下去了。星星花园？那是口胡，这里可是露米兰大陆最重要的秘密基地，拥有着通往未知世界大门的神秘钥匙。在庄园里孵蛋，跟着向日田鼠挖地洞，穿着水手服远航，骑着呆萌龙族转圈圈……等等，嘉儿，那颗星星是？"
912,"漫威世界里的超人","纯洁的猪头","科幻小说",1417219,50,947420,7709,9.1,"公众作品","新书上传","Ａ级签约","2015/12/9 21:41","　　霍奇买了一个能穿越各种电影世界的神奇手表，在去超人世界的一瞬间，被从天而降的雷给劈了...
???     阴差阳错下霍奇来到了另一个世界...
???     这个世界里，有钢铁侠，有绿巨人，有雷神，有美国队长...
???     还有一个拥有超人能力的霍奇...
???     PS：不要用漫画做参照...
???     PS：请以电影剧情为主...
???     PS：请以作者写的剧情为主....
???     重点注明：请以作者所写剧情为主...时间线和漫画神马的...大家都懂滴...
???     参加梦想杯了，请各位支持猪头，投上一票~~"
913,"人道至尊","宅猪","玄幻小说",1432398,1852,3914847,81299,9.9,"公众作品","新书上传","Ａ级签约","2016/10/23 12:09","　　自盘古开天，三皇治世，五帝定伦，世界之间，人为天地灵长……
???     此时正值三皇中的人皇末期，五帝未定，人族也不是天地灵长。
???     这里是莽苍荒蛮的时代，妖神、邪神、天神，诸神林立，妖魔、邪魔、天魔，群魔乱舞；
???     万族并存，野蛮生长，统治天下，而人皇已老，人族弱小，被当成祭牲和食粮……
???     这不是洪荒，而是狂野奔放的蛮荒！
???     回归中国古典神话，书写人族逆袭的蛮荒传奇，敬请阅读《人道至尊》！
???     宅猪微信：zhaizhu2008，公众微信号：zhaizhu00"
914,"幻想乡的六尾小狐","追寞矣","二次元小说",349572,16,280947,2263,9.9,"VIP作品","已经完本","专属作品","2015/8/24 21:43","　　错误的穿越已经是一种常态了。
???     非人的穿越已经是一种常态了。
???     带系统的穿越已经是一种常态了。
???     带坑人的系统的穿越已经是一种常态了。
???     一只火红的六尾小狐眼含泪水的望着眼前身穿露腋巫女服的少女，但是那个少女似乎完全不领情般的两眼放光的盯着这只小小的狐狸。
???     “快！再给我聚集一点钱来！”
???     “坑爹啊！为什么系统自带的福利会是【聚宝功】啊！”
???     这是一个穿越成口袋妖怪，却错误来到了危机四伏的幻想乡的可怜“少年”求生的故事。
???     PS:(应该)说好的群（三一九八零一零八七）"
915,"苍穹九变","风起闲云","仙侠小说",230363,194,5728304,1706,9.7,"公众作品","连载中","签约作品","2016/10/23 12:00","　　【巅峰聚焦——品牌佳作，强力推荐】
???     隋末邪帝传人苏阳，修炼《苍穹九变》奇功，重生现代，九世积累下的人脉财富，令人匪夷所思。???     到了现代，九世种种，千丝万缕，原来九世蜕变并非剧终，却是一段传奇的开始。"
916,"网游之三国超级领主","三心二缺","游戏小说",863734,335,2929365,4248,9.5,"公众作品","新书上传","Ａ级签约","2016/10/22 21:05","　　简介：虚拟现实游戏《世界之战》席卷全球，它以各国经典历史、经典传说为背景，脑电波接入，100%仿真体感，号称人类第二世界！不过《世界之战》最大的噱头还是达到一定条件可以兑现游戏人物到现实中！设想现实中有机会跟赵云、关羽一起打打架是多么豪气干云，带着貂蝉、阿市逛逛街岂不羡煞一地眼球？当然，随着游戏的深入大家会发现，精彩远不止这些…
???     因游戏中的一颗重生丹而被现实追杀，杨锐再入游戏誓要解开其中疑团…
???"
917,"极道阴阳师","MY诺恩斯","灵异小说",273680,45,2494070,1565,8.9,"公众作品","已经完本","Ａ级签约","2015/5/31 7:01","　　阴阳世家的废柴公子唐一川，在百鬼夜行夜吞噬了阴阳至尊的元神，开启了一双阴阳眼。
???     原本与阴阳师无缘的唐一川，阴差阳错的成了一个阴阳师，然后开始不断的遇见灵异事件。
???     冥婚，纸扎人复活，猛鬼食人夜，百鬼夜行，僵尸乱世，五仙作乱，神兽现世，命运交易所……
???     一桩桩灵异的事件，一次次生死较量，唐一川解救无数人，度化了无数恶鬼，破译了无数谜团。
???     他从一个灵异绝缘体，变成了一个越来越强大的阴阳师。
???     他用一身凡胎肉体走遍阴曹地府，成就了阴阳师一脉的至尊传奇。
???"
918,"埃提亚","上帝不在天堂","游戏小说",3334618,67,8576507,7787,9.5,"公众作品","已经完本","Ａ级签约","2015/7/1 0:08","　　这是一个真实又虚幻的世界，在这里虚幻和真实之间没有界限。所有的一切都是真实的印刻在你的灵魂里，只是这些印刻依然是虚幻的。虚拟实境游戏《埃提亚》，一个存在于虚拟当中最真实的世界。公历2098年1月1日盛世公测，在这里你永远都不是一个人！"
919,"武侠鬼道士","人氐言周","游戏小说",498267,47,1130234,1094,9.6,"公众作品","已经完本","Ａ级签约","2015/10/23 7:15","　　江湖生死在我手，血海紫影一妖郎。
???     企鹅群：三六一八零六四六，欢迎水货，萌货，各种货
???     新书：武侠游记，求罩求各种。"
920,"重生于康熙末年","雁九","历史小说",12349529,262,5720619,51011,8.2,"公众作品","已经完本","Ａ级签约","2012/6/27 14:31","　　一梦醒来，面对三百年前的江宁织造曹府。
???     康熙渐老，大变将生；九龙张目，蓄势待起。
???     不知几家繁华似锦，几家大厦将倾，江南曹家盛极而衰。
???     为了亲人，为了自己，重生的曹_认真地生活着……
???     《大明望族》首发创世，起点也有了，已经养肥，^_^"
921,"人偶师的疯狂之旅","亿万的星辰","二次元小说",172988,17,309964,629,10,"VIP作品","新书上传","专属作品","2015/11/8 17:03","　　苏泽绝对不是一个合格的穿越者，比起能够忍受恶劣的系统和无节操神明的同仁们，他进行了激烈的反抗；
???     苏泽绝对不是一个称职的魔王，比起那些以毁灭或者是征服世界为乐的同仁们，他更对那些世界的书籍感兴趣；
???     苏泽绝对不是一个有追求的人偶师，比起那些专注于人偶的战斗力的同仁们，他更享受与自己的人偶们生活的每一刻时光。
???     苏泽知道自己不是一个合格的穿越者，不是一个合格的魔王，也不是一个合格的人偶师，可是他也知道，只有这样的自己，才是一个合格的，真正的自己！
???     苏泽，为自己而活！"
922,"武装风暴","骷髅精灵","玄幻小说",19676291,78,2032517,39773,9.3,"公众作品","连载中","Ａ级签约","2016/8/2 17:05","　　王动同学即将展开青春灿烂美女如云的大学生活，等到的却是赴诺顿星大开发的“卖身契”。
???     诺顿星遭到扎戈族大规模袭击，防御力量瞬间化为乌有，等待王动的是五倍重力的恶劣环境，虫子肆虐，缺水断粮，孤立无援……
???     神秘的空间水晶，刀锋战士的力量？二百五十六度极限刀锋诀？
???     一个老实巴交的低级机器人，一个满嘴胡话的鬼魂，王动同学为活着而奋斗……
???     骷髅和大家分享一个故事，里面有热血和激情！
???     (新书冲榜，有票的兄弟姐妹们随手仍上几张吧，不胜感激！）"
923,"龙骑战机","华表","科幻小说",5145177,197,3991977,50517,9.7,"公众作品","已经完本","Ａ级签约","2013/12/3 12:10","　　中国最好看、最热血、最精彩、最激情的现代空战小说，空战流的至强篇章，仅此一家，别无分号!
???     来自异界的龙骑士长剑直指被战斗机主宰的苍穹，化身为构装空中战斗兵器的巨龙振翅翱翔，两个世界的空骑士追寻属于自己的荣耀，共同描绘出30000英尺高空的那份浪漫!
???     苍穹之下，谁与争锋？
???     --------
???     新书：《青莲剑说》 书号1004144362
???     欢迎收藏，打赏和订阅！"
924,"无限的使徒们","苍之血泪","科幻小说",204198,88,2429645,3840,10,"公众作品","精彩纷呈","Ａ级签约","2016/10/22 19:30","　　无限大世界系列第一部。
???     无限使徒，无限大世界中的驻守者，维持着世界的运转与安全。
???     他们不是自诩伟大的神明，他们只是一群自愿维持世界的生命。
???     生命的无限性，可不是单纯的一个生命就能将其表现，孤独的个体，永远也无法诠释无限的广阔。
???     往复轮回的曾经，神话故事的真相，重新衍生而出的第九个无限大世界，不为新生的无限使徒所知晓的过去。包容了苍蓝篇的纯白篇，揭示无限使徒的真相。
???     目前可以透露的是：???     浪客剑心—C3魔方少女—FATE四战—无限之心简介—原创鬼泣前传—无限使徒紧急任务—鬼泣正传加猎天使魔女—约会大作战*高达00*主角的过去—幻想乡篇。
???     本书QQ群：421568112，欢迎各位入驻。"
925,"恶魔术士本纪","尸骨寒","都市小说",80516,15,1007369,2543,6,"公众作品","新书上传","Ａ级签约","2015/9/23 20:00","　　陈雄本来只是一个理想是混吃等死的高中生，忽然有一天，他获得了沟通地狱的能力，从此踏上了一条牛逼闪闪的道路。

???     总的来说，这是一个恶魔术士的故事。
???     (不要被书名欺骗，本书为欢乐日常向)
???     《魔兽世界》乱入注意
???     《型月世界》乱入注意
???     《CLANNAD》乱入注意
???     《龙族》乱入注意
???     《日在校园》乱入注意
???     《东方百合乡》乱入注意
???     各种二次元动漫、三次元偶像、英美剧乱入注意"
926,"我的老爸超有钱","华骨寒","都市小说",312093,7,501459,821,8.4,"公众作品","新书上传","Ａ级签约","2015/5/28 16:35","　　他一直以为自己是穷家孩子，父亲留给他唯一的遗产是本《世界童话精选》，直到他无意中解开一道书中的谜题，父亲的遗产开始真正呈现眼前。
???     无数的谜题，无数的宝藏。
???     随着谜题不断解开，黄金、钻石、巨额存款、市值数十亿的金融网络、暗藏的军火集团、庞大的佣兵团队、神秘的情报公司，甚至某个国家政府……都是父亲名下的产业。
???     同时，解谜过程越来越惊险残酷，甚至伴随着天灾、战争。他继承父亲的遗产富可敌国的同时被绑上一架无法停止的战车……
???     所有的问题归结起来只有两个：一，父亲生前到底是什么人？二，他到底有多少钱？
???"
927,"娱乐帝国系统","宝哥","职场小说",695712,352,4817982,4651,9.5,"公众作品","新书上传","Ａ级签约","2016/10/23 10:11","　　在娱乐圈混了十年的配角演员叶明带着未来的娱乐帝国系统回到九七年，
???     那一年，二十二岁的叶明，二十三岁的苏有鹏，意气风发，青春无敌
???     那一年，二十一岁的赵微,林心如，十六岁的范彬彬，稚气未脱。清淡如菊。
???     共同汇聚在一个叫做琼遥的旗下，静静的绽放着属于他们的美丽。
???     一个娱乐圈的帝王从还珠格格开始，踏上了征途。
???     重生者叶明利用超级系统，打造一个大大的娱乐帝国。
???     [求订阅月票推荐票]
???"
928,"三国之兵临天下","高月","历史小说",173845,111,3696444,467,9.5,"公众作品","已经完本","签约作品","2014/12/24 8:00","　　一个穿越千年的灵魂，一名卑微的少年，一辆神秘的牛车，命运交织，演绎出一段金戈铁马的传奇。波澜壮阔的三国新争霸史由此拉开了序幕。???"
929,"唐骑","阿菩","历史小说",4742656,53,3539884,20040,9.5,"公众作品","已经完本","Ａ级签约","2014/12/30 11:34","　　大风狂飙，席卷万里，马蹄踏处，即为大唐！
???     ————————————————————————————
???"
930,"画风微妙的怪物猎人","joker陌","游戏小说",274462,14,486467,696,10,"公众作品","已经完本","Ａ级签约","2015/12/18 12:28","　　这是一个少年带着不靠谱的系统奋斗在异界的故事。
???     只是说好的怪猎世界为毛会有种似是而非的感觉？
???     荒野求生并不是一件容易的事——
???     白小秋无比纠结的看着眼前电龙的尸体：“去掉头就可以吃了是吗？”
???     “喂，地球那边，再抢戏我就报警了！！”
???     （ps：怪猎菜鸟，会有大量与游戏不符的设定，另外讨鬼传也会偶尔跑来串个场。）
???     （ps2：非怪猎玩家同样可以阅读。）"
931,"电影世界神级龙套","真言之道","科幻小说",530141,63,1076842,1481,10,"公众作品","已经完本","Ａ级签约","2015/8/30 11:33","　　看个电影弹出一个窗口“你想拥有电影主角一样的超能力吗？…是否进入请选择Yes——No”正看到精彩处的李易航有些恼怒，手一滑，就点了个Yes于是原本平凡的李易航，就开始了一段奇妙的电影时空之旅。

???     李易航：这是什么地方？你是什么东西？

???     系统管家：我不是什么东西，我是鸿蒙超级电影系统的管家，你可以叫我Mr.Y。

???     李易航：……

???     钢铁侠——身披钢铁战衣打酱油。

???     变形金刚——夺取火种源。

???     复仇者联盟——和绿巨人一较高低。

???     西游降魔篇——从妖怪口中救出小女孩。

???     环太平洋——抵抗海洋怪兽……

???     无数电影位面，都有他的影子！虽然每次出现的时候，他只是电影中的一个小龙套！

???"
932,"韩娱之骗子","脑子有点飘","职场小说",156967,11,877830,1304,10,"VIP作品","新书上传","专属作品","2016/7/11 6:42","　　女主皇冠，T－ARA里选谁呢？！未定~~~~~~选择困难户！大家懂的！

???     “阿加西，泡面加鸡蛋！”狠狠跺了跺脚，朴智妍死死瞪着站在不远处的坏蛋大叔。

???     “没有啊，我感觉在庭人很好啊，又温暖、又体贴——”看着掘着小嘴的全宝蓝，李居丽下意识地解释着。

???     “老婆，你是被那个家伙给骗了好吗！”朴孝敏一脸你很不争气地拍了拍含恩静。

???     “你不也被骗了吗？？”朴素妍满是古怪地看着朴孝敏

???     “呀！你要叫我前辈，知道吗？”Jessica猛一拍桌子站了起来。

???     小水晶歪了歪脑袋，撅着小嘴嘀嘀咕咕，“oppa就是个大骗子...”

???     ""oppa,你不能偏心~~~""IU抱住了李在庭的胳膊死不放手！

???     《骗子》书.群.号：2.0.2.4.3.0.8.9.8，欢迎进来提意见和建议。

???     另外请关注一下本人的微－博号：李在庭的TARA。

???     么么哒！！！"
