Date,Package,Title,,
2020/5/5,ghyp,Generalized Hyperbolic Distribution and Its Special Cases,,
2020/5/5,googledrive,An Interface to Google Drive,,
2020/5/5,groupedstats,Grouped Statistical Analyses in a Tidy Way,,
2020/5/5,iNZightMR,Tools for Exploring Multiple Response Data,,
2020/5/5,loggit,Modern Logging for the R Ecosystem,,
2020/5/5,mfe,Meta-Feature Extractor,,
2020/5/5,MinEDfind,A Bayesian Design for Minimum Effective Dosing-Finding Trial,,
2020/5/5,mizer,Multi-Species sIZE Spectrum Modelling in R,,
2020/5/5,MortCast,Estimation and Projection of Age-Specific Mortality Rates,,
2020/5/5,MSEtool,Management Strategy Evaluation Toolkit,,
2020/5/5,otp,One Time Password Generation and Verification,,
2020/5/5,pcadapt,Fast Principal Component Analysis for Outlier Detection,,
2020/5/5,pillar,Coloured Formatting for Columns,,
2020/5/5,Rlinsolve,Iterative Solvers for (Sparse) Linear System of Equations,,
2020/5/5,rmsfuns,"Quickly View Data Frames in 'Excel', Build Folder Paths and
Create Date Vectors",,
2020/5/5,samon,Sensitivity Analysis for Missing Data,,
2020/5/5,shinyrecipes,"Gadget to Use the Data Preprocessing 'recipes' Package
Interactively",,
2020/5/5,shorts,Short Sprints,,
2020/5/5,smartR,"Spatial Management and Assessment of Demersal Resources for
Trawl Fisheries",,
2020/5/5,statsr,"Companion Software for the Coursera Statistics with R
Specialization",,
2020/5/5,tabr,"Music Notation Syntax, Manipulation, Analysis and Transcription
in R",,
2020/5/5,timedelay,"Time Delay Estimation for Stochastic Time Series of
Gravitationally Lensed Quasars",,
2020/5/5,writexl,Export Data Frames to Excel 'xlsx' Format,,
2020/5/4,AQLSchemes,Retrieving Acceptance Sampling Schemes,,
2020/5/4,ata,Automated Test Assembly,,
2020/5/4,BANOVA,Hierarchical Bayesian ANOVA Models,,
2020/5/4,barsurf,Heatmap-Related Plots and Smooth Multiband Color Interpolation,,
2020/5/4,BisqueRNA,Decomposition of Bulk Expression with Single-Cell Sequencing,,
2020/5/4,calcUnique,Simple Wrapper for Computationally Expensive Functions,,
2020/5/4,CensSpatial,Censored Spatial Models,,
2020/5/4,CGE,Computing General Equilibrium,,
2020/5/4,CSUV,Combined Selection and Uncertainty Visualiser (CSUV),,
2020/5/4,DChaos,Chaotic Time Series Analysis,,
2020/5/4,DescriptiveStats.OBeu,Descriptive Statistics 'OpenBudgets.eu',,
2020/5/4,difNLR,DIF and DDF Detection by Non-Linear Regression Models,,
2020/5/4,dm,Relational Data Models,,
2020/5/4,downloadthis,Implement Download Buttons in 'rmarkdown',,
2020/5/4,exuber,Econometric Analysis of Explosive Time Series,,
2020/5/4,fastNaiveBayes,Extremely Fast Implementation of a Naive Bayes Classifier,,
2020/5/4,formulaic,Dynamic Generation and Quality Checks of Formula Objects,,
2020/5/4,fstcore,R Bindings to the 'Fstlib' Library,,
2020/5/4,gdiff,Graphical Difference Testing,,
2020/5/4,gets,"General-to-Specific (GETS) Modelling and Indicator Saturation
Methods",,
2020/5/4,ggpubr,'ggplot2' Based Publication Ready Plots,,
2020/5/4,GiANT,Gene Set Uncertainty in Enrichment Analysis,,
2020/5/4,graph4lg,Build Graphs for Landscape Genetics Analysis,,
2020/5/4,gss,General Smoothing Splines,,
2020/5/4,GWpcor,Geographically Weighted Partial Correlation Coefficient,,
2020/5/4,importinegi,Download and Manage Open Data from INEGI,,
2020/5/4,jstable,Create Tables from Different Types of Regression,,
2020/5/4,klexdatr,Kootenay Lake Exploitation Study Data,,
2020/5/4,ldsr,Linear Dynamical System Reconstruction,,
2020/5/4,lsa,Latent Semantic Analysis,,
2020/5/4,mda,Mixture and Flexible Discriminant Analysis,,
2020/5/4,meta,General Package for Meta-Analysis,,
2020/5/4,minidown,"Create Simple Yet Powerful HTML Documents with Light Weight CSS
Frameworks",,
2020/5/4,MultiKink,Estimation and Inference for Multi-Kink Quantile Regression,,
2020/5/4,NHSRdatasets,NHS and Healthcare-Related Data for Education and Training,,
2020/5/4,npreg,Nonparametric Regression,,
2020/5/4,nVennR,"Create n-Dimensional, Quasi-Proportional Venn Diagrams",,
2020/5/4,officer,Manipulation of Microsoft Word and PowerPoint Documents,,
2020/5/4,openVA,Automated Method for Verbal Autopsy,,
2020/5/4,pagedown,Paginate the HTML Output of R Markdown with CSS for Print,,
2020/5/4,PoisNonNor,Simultaneous Generation of Count and Continuous Data,,
2020/5/4,powdR,Full Pattern Summation of X-Ray Powder Diffraction Data,,
2020/5/4,prismadiagramR,Creates a Prisma Diagram using 'DiagrammeR',,
2020/5/4,PSweight,Propensity Score Weighting for Causal Inference,,
2020/5/4,RCzechia,Spatial Objects of the Czech Republic,,
2020/5/4,Rdimtools,Dimension Reduction and Estimation Methods,,
2020/5/4,rdist,Calculate Pairwise Distances,,
2020/5/4,red,IUCN Redlisting Tools,,
2020/5/4,rmcorr,Repeated Measures Correlation,,
2020/5/4,RNetCDF,Interface to 'NetCDF' Datasets,,
2020/5/4,RNewsflow,Tools for Comparing Text Messages Across Time and Media,,
2020/5/4,rplum,Bayesian Age-Depth Modelling of '210Pb'-Dated Cores,,
2020/5/4,Rtrack,Spatial Navigation Strategy Analysis,,
2020/5/4,RWiener,Wiener Process Distribution Functions,,
2020/5/4,SDLfilter,Filtering and Assessing Sample Size of Tracking Data,,
2020/5/4,sf,Simple Features for R,,
2020/5/4,ShiftConvolvePoibin,Exactly Computing the Tail of the Poisson-Binomial Distribution,,
2020/5/4,ShinyItemAnalysis,Test and Item Analysis via Shiny,,
2020/5/4,Sim.DiffProc,Simulation of Diffusion Processes,,
2020/5/4,srvyr,'dplyr'-Like Syntax for Summary Statistics of Survey Data,,
2020/5/4,starvars,"Vector Logistic Smooth Transition Models / Realized Covariances
Construction",,
2020/5/4,stream,Infrastructure for Data Stream Mining,,
2020/5/4,SWMPrExtension,Functions for Analyzing and Plotting Estuary Monitoring Data,,
2020/5/4,textdata,Download and Load Various Text Datasets,,
2020/5/4,textrecipes,Extra 'Recipes' for Text Processing,,
2020/5/4,tidyqwi,"A Convenient API for Accessing United States Census Bureau's
Quarterly Workforce Indicator",,
2020/5/4,unmarked,Models for Data from Unmarked Animals,,
2020/5/4,valr,Genome Interval Arithmetic in R,,
2020/5/4,xaringanthemer,Custom 'xaringan' CSS Themes,,
2020/5/3,attempt,Tools for Defensive Programming,,
2020/5/3,chillR,"Statistical Methods for Phenology Analysis in Temperate Fruit
Trees",,
2020/5/3,covid19.analytics,Load and Analyze Live Data from the CoViD-19 Pandemic,,
2020/5/3,DGLMExtPois,Double Generalized Linear Models Extending Poisson Regression,,
2020/5/3,dreamerr,Error Handling Made Easy,,
2020/5/3,extRemes,Extreme Value Analysis,,
2020/5/3,FaultTree,Fault Trees for Risk and Reliability Analysis,,
2020/5/3,git2r,Provides Access to Git Repositories,,
2020/5/3,hmi,Hierarchical Multiple Imputation,,
2020/5/3,HMMmlselect,"Determine the Number of States in Hidden Markov Models via
Marginal Likelihood",,
2020/5/3,markovchain,Easy Handling Discrete Time Markov Chains,,
2020/5/3,nonlinearTseries,Nonlinear Time Series Analysis,,
2020/5/3,performance,Assessment of Regression Models Performance,,
2020/5/3,stplanr,Sustainable Transport Planning,,
2020/5/3,trackeRapp,"Interface for the Analysis of Running, Cycling and Swimming Data
from GPS-Enabled Tracking Devices",,
2020/5/3,xrf,eXtreme RuleFit,,
2020/5/3,yorkr,Analyze Cricket Performances Based on Data from Cricsheet,,
2020/5/2,bama,High Dimensional Bayesian Mediation Analysis,,
2020/5/2,betafunctions,"Functions for Working with the Beta Probability Density
Distribution",,
2020/5/2,bitmexr,R Client for BitMEX,,
2020/5/2,bsts,Bayesian Structural Time Series,,
2020/5/2,BTM,Biterm Topic Models for Short Text,,
2020/5/2,CensMFM,Finite Mixture of Multivariate Censored/Missing Data,,
2020/5/2,cnum,Chinese Numerals Processing,,
2020/5/2,eeptools,Convenience Functions for Education Data,,
2020/5/2,es.dif,Compute Effect Sizes of the Difference,,
2020/5/2,explor,Interactive Interfaces for Results Exploration,,
2020/5/2,fxregime,Exchange Rate Regime Analysis,,
2020/5/2,googleCloudRunner,"R Scripts in the Google Cloud via Cloud Run, Cloud Build and
Cloud Scheduler",,
2020/5/2,lqr,Robust Linear Quantile Regression,,
2020/5/2,mapmisc,Utilities for Producing Maps,,
2020/5/2,mcb,Model Confidence Bounds,,
2020/5/2,MMDai,"Multivariate Multinomial Distribution Approximation and
Imputation for Incomplete Categorical Data",,
2020/5/2,moreparty,A Toolbox for Conditional Inference Random Forests,,
2020/5/2,msd,Method of Successive Dichotomizations,,
2020/5/2,MultiOrd,Generation of Multivariate Ordinal Variates,,
2020/5/2,nCal,Nonlinear Calibration,,
2020/5/2,optimParallel,Parallel Version of the L-BFGS-B Optimization Method,,
2020/5/2,Pareto,The Pareto and the Piecewise Pareto Distribution,,
2020/5/2,pcalls,Pricing of Different Types of Call,,
2020/5/2,PheCAP,"High-Throughput Phenotyping with EHR using a Common Automated
Pipeline",,
2020/5/2,PQLseq,"Efficient Mixed Model Analysis of Count Data in Large-Scale
Genomic Sequencing Studies",,
2020/5/2,protViz,"Visualizing and Analyzing Mass Spectrometry Related Data in
Proteomics",,
2020/5/2,purrrlyr,Tools at the Intersection of 'purrr' and 'dplyr',,
2020/5/2,rlang,Functions for Base Types and Core R and 'Tidyverse' Features,,
2020/5/2,robustMVMR,"Perform the Robust Multivariable Mendelian Randomization
Analysis",,
2020/5/2,ROCR,Visualizing the Performance of Scoring Classifiers,,
2020/5/2,rtemps,R Templates for Reproducible Data Analyses,,
2020/5/2,sasLM,'SAS' Linear Model,,
2020/5/2,tidyfst,Tidy Verbs for Fast Data Manipulation,,
2020/5/2,TruncatedNormal,Truncated Multivariate Normal and Student Distributions,,
2020/5/2,windAC,Area Correction Methods,,
2020/5/2,zoo,"S3 Infrastructure for Regular and Irregular Time Series (Z's
Ordered Observations)",,
2020/5/1,apt,Asymmetric Price Transmission,,
2020/5/1,astsa,Applied Statistical Time Series Analysis,,
2020/5/1,bayescopulareg,Bayesian Copula Regression,,
2020/5/1,bold,Interface to Bold Systems API,,
2020/5/1,BoomSpikeSlab,MCMC for Spike and Slab Regression,,
2020/5/1,cfdecomp,Counterfactual Decomposition: MC Integration of the G-Formula,,
2020/5/1,dttr2,"Manipulate Dates, DateTimes and Times",,
2020/5/1,erer,Empirical Research in Economics with R,,
2020/5/1,fairness,Algorithmic Fairness Metrics,,
2020/5/1,gastempt,Analyzing Gastric Emptying from MRI or Scintigraphy,,
2020/5/1,GGIR,Raw Accelerometer Data Analysis,,
2020/5/1,GroupBN,Learn Group Bayesian Networks using Hierarchical Clustering,,
2020/5/1,helda,"Preprocess Data and Get Better Insights from Machine Learning
Models",,
2020/5/1,hsstan,Hierarchical Shrinkage Stan Models for Biomarker Selection,,
2020/5/1,IrregLong,Analysis of Longitudinal Data with Irregular Observation Times,,
2020/5/1,matrixTests,"Fast Statistical Hypothesis Tests on Rows and Columns of
Matrices",,
2020/5/1,matsbyname,An Implementation of Matrix Mathematics,,
2020/5/1,MLPA,Multiplex Ligation-Dependent Probe Amplification Data Analysis,,
2020/5/1,mpt,Multinomial Processing Tree Models,,
2020/5/1,otpr,An R Wrapper for the 'OpenTripPlanner' REST API,,
2020/5/1,polyapost,Simulating from the Polya Posterior,,
2020/5/1,profile,"Read, Manipulate, and Write Profiler Data",,
2020/5/1,QTL.gCIMapping,QTL Genome-Wide Composite Interval Mapping,,
2020/5/1,QTL.gCIMapping.GUI,"QTL Genome-Wide Composite Interval Mapping with Graphical User
Interface",,
2020/5/1,RBaseX,'BaseX' Client,,
