sbid,tenure,expense,COUNT,perperson,entropy,chgexpense,chgcount,churn
1445487091,2736,240.05,81,13.37851852,3.511743529,0.445300741,0.051948052,0
1445487109,2169,124.12,65,7.731846154,3.317611765,0.022236864,0.25,0
1445487191,2225,363,55,14.11272727,2.835803384,0,-0.191176471,0
1445487193,3529,385.26,204,7.627794118,4.568807934,0.418953261,0.127071823,0
1445487229,3603,122,43,4.13255814,3.151200889,-0.125824018,0.102564103,0
1445487239,3606,69,50,3.7966,3.135240014,-0.08,-0.107142857,0
1445487241,2762,147.62,121,9.469917355,3.932769192,0.460571881,0.375,0
1445487260,2764,249,76,7.575263158,3.295656416,-0.008560621,-0.05,0
1445487273,2068,89.1,54,4.187407407,3.620705196,-0.0039128,-0.129032258,0
1445487279,2219,335.67,199,9.149899498,4.420628318,0.320235988,0.052910053,0
1445487366,2717,191.3,111,9.048648649,3.830785552,0,0.206521739,0
1445487404,2160,232.3,96,5.8778125,3.958841194,-0.079635499,-0.36,0
1445487421,2722,171.45,184,8.915054348,3.896467862,-0.248619511,0,0
1445487462,4326,217.02,98,8.707244898,4.063628038,-0.025373872,0.195121951,0
1445487472,3596,106.15,54,5.742592593,3.083685987,-0.010533184,0,0
1445487484,2134,184.69,86,16.07651163,3.341770962,0.294616571,0.116883117,0
1445487492,3599,482.47,249,5.520120482,4.487623648,-0.030737087,-0.107526882,0
1445487498,2763,102,56,7.221785714,3.222108431,-0.014968614,-0.111111111,0
1445487510,2740,99.7,59,3.878474576,3.384475482,-0.000901894,0.134615385,0
1445487574,3610,54.02,9,4.69,1.746216266,-0.248260507,-0.7,0
1445487579,3606,128.62,36,8.786388889,2.562220392,0.051676206,0.285714286,0
1445487581,3590,172.35,98,10.19612245,3.405401445,0.238146552,-0.048543689,0
1445487621,2168,161.04,76,8.517105263,3.402667935,0.079863207,0.027027027,0
1445487688,3397,197.96,126,9.912460318,3.985484524,-0.013504759,0.135135135,0
1445487776,3544,142.7,92,4.900108696,3.844611664,-0.021262003,0.135802469,0
1445487786,2465,150.89,29,5.595172414,2.825085631,0.055248619,-0.121212121,0
1445487789,3602,269.3,35,11.36628571,1.194172409,0.013167795,0.029411765,0
1445487794,2221,206.44,121,7.851735537,4.063892918,0.230420789,0.222222222,0
1445487836,4489,356.51,127,8.340787402,3.345122592,-0.140463389,-0.147651007,0
1445487886,747,326.1,77,13.29753247,2.255315536,-0.001225115,0.203125,0
1445487889,3587,94,50,7.5434,3.085739149,0,0.190476191,0
1445487896,3522,98.91,77,4.634675325,3.759901441,-0.065299565,0.4,0
1445487906,3544,112.36,45,6.640888889,2.919118848,0.000890789,0.730769231,0
1445487911,3599,213.63,41,9.223414634,2.571803641,0.628649844,-0.088888889,0
1445487923,2058,63.98,35,10.81114286,2.876287908,-0.2859375,-0.255319149,0
1445487996,4484,84,34,3.310882353,3.08855586,-0.106382979,-0.055555556,0
1445488043,2763,95.3,82,4.329268293,3.285495523,-0.269955569,-0.203883495,0
1445488067,2767,152.1,40,10.135,2.440016806,-0.004581152,-0.245283019,0
1445488073,2762,151.45,71,7.95084507,3.410470476,-0.052904759,0.059701493,0
1445488090,2729,361.83,151,6.254370861,4.150946619,-0.082045818,-0.201058201,0
1445488098,2301,408.5,157,4.908726115,4.171340726,-0.417999972,0.137681159,0
1445488111,2747,171.49,52,16.56038462,3.192225879,0.202847724,0.209302326,0
1445488210,2760,235.06,28,5.095714286,2.5773493,-0.010731872,0.555555556,0
1445488229,3587,240,105,6.790476191,3.558754416,0,-0.0625,0
1445488250,2096,102.2,74,9.925675676,3.433285051,-0.238733706,0.088235294,0
1445488259,3596,135.7,83,5.259879518,3.337411111,-0.026542324,-0.423611111,0
1445488273,3558,50,35,5.076285714,2.90456651,-0.497891143,-0.166666667,0
1445488275,2724,158.3,117,4.946153846,3.490354069,0.0611342,0.344827586,0
1445488284,3595,164.4,68,21.37441177,3.21998118,0.29704142,-0.105263158,0
1445488302,2325,93.1,78,6.402307692,3.209386413,-0.015856237,-0.060240964,0
1445488359,2179,189.44,197,7.233756345,4.243242543,-0.04994985,0.005102041,0
1445488363,4483,163.45,139,6.697553957,3.952403385,0.469345559,0.061068702,0
1445488449,3098,146.19,14,15.10928571,1.138090989,0.325986395,-0.222222222,0
1445488505,2736,167,84,4.651547619,3.817288883,-0.015504333,-0.236363636,0
1445488544,3595,92.72,106,7.321981132,3.552228424,-0.343993208,0.081632653,0
1445488644,2179,92.87,58,7.289827586,2.539426546,0.098013715,-0.016949153,0
1445488693,4485,181.53,33,3.621818182,2.734174032,-0.013370292,-0.108108108,0
1445488704,3602,167.65,39,10.66,2.330601147,-0.317246997,-0.048780488,0
1445488735,2690,164.26,120,7.36875,3.51686084,0.872762513,-0.047619048,0
1445488761,2764,199.55,180,4.356388889,4.404326572,-0.042236621,0.19205298,0
1445488838,3559,164.85,131,3.561145038,4.072875295,0.099366456,0.129310345,0
1445488845,2756,197.46,124,5.868145161,3.811944082,-0.002374577,0.148148148,0
1445488916,4480,234,279,5.39311828,3.896965707,0,0.167364017,0
1445488936,4482,199.8,181,7.739447514,4.272727594,-0.005970149,-0.076530612,0
1445488983,4484,154.3,52,7.24,3.010193536,0.012400761,0.019607843,0
1445489004,3595,201.49,45,7.283777778,3.060533155,0.002437811,0.363636364,0
1445489060,2050,90.41,42,32.64476191,2.414241606,-0.075845855,-0.34375,0
1445489127,3559,98.17,30,3.069666667,2.950610978,0.200709393,0.25,0
1445489141,2322,134.26,42,6.597857143,2.876762599,0.030786948,0.448275862,0
1445489163,4484,176,121,5.604545455,3.6549057,0.073170732,-0.153846154,0
1445489178,4483,66.7,37,7.255675676,2.866168038,-0.490800824,-0.097560976,0
1445489186,3546,101.15,18,5.785555556,1.912413856,0.186510264,-0.052631579,0
1445489217,4484,284.6,277,5.433249098,4.919958451,-0.00419874,0.010948905,0
1445489225,3558,62.3,44,6.07,3.050314792,-0.317634173,-0.388888889,0
1445489262,2740,228.06,96,3.852083333,3.220326047,0.05169472,-0.111111111,0
1445489330,3557,179,86,6.327093023,3.383266714,0,0.102564103,0
1445489339,3599,147.49,81,7.144197531,3.681226397,0.699193548,0.265625,0
1445489346,4482,309,2,0.1,0,0,0,0
1445489359,3597,482.25,48,9.509583333,3.024405433,-0.11097797,-0.294117647,0
1445489420,2722,76.6,55,3.411818182,2.832781915,-0.141255605,0.037735849,0
1445489436,4481,200.14,35,5.512857143,2.28736554,-0.003882142,0.458333333,0
1445489444,3594,306,129,4.143023256,3.950118586,-0.004521943,0.183486239,0
1445489447,3561,119.42,137,9.533211679,3.897596352,-0.162904809,-0.061643836,0
